,NAME,B02001_001E,B02001_002E,state,county,tract,white_ratio,quantile_category,tractid
771,"Census Tract 8124.04, Hampden County, Massachusetts",4043,3419,25,013,812404,0.8456591639871383,2,25013812404
772,"Census Tract 8131.01, Hampden County, Massachusetts",6094,5943,25,013,813101,0.9752215293731539,4,25013813101
773,"Census Tract 8131.02, Hampden County, Massachusetts",3617,3535,25,013,813102,0.97732927840752,4,25013813102
774,"Census Tract 8132.08, Hampden County, Massachusetts",2846,2637,25,013,813208,0.926563598032326,3,25013813208
775,"Census Tract 8132.09, Hampden County, Massachusetts",6237,5827,25,013,813209,0.9342632675966009,4,25013813209
776,"Census Tract 8133.03, Hampden County, Massachusetts",4387,3800,25,013,813303,0.8661955778436289,3,25013813303
777,"Census Tract 8133.04, Hampden County, Massachusetts",4027,3568,25,013,813304,0.8860193692575118,3,25013813304
778,"Census Tract 8137.01, Hampden County, Massachusetts",3595,3479,25,013,813701,0.9677329624478442,4,25013813701
779,"Census Tract 8137.02, Hampden County, Massachusetts",5208,4956,25,013,813702,0.9516129032258065,4,25013813702
780,"Census Tract 8138.01, Hampden County, Massachusetts",4519,4395,25,013,813801,0.972560300951538,4,25013813801
781,"Census Tract 8138.02, Hampden County, Massachusetts",3724,3682,25,013,813802,0.9887218045112782,4,25013813802
782,"Census Tract 8219.03, Hampshire County, Massachusetts",3103,2766,25,015,821903,0.8913954237834354,3,25015821903
783,"Census Tract 8219.04, Hampshire County, Massachusetts",2541,2256,25,015,821904,0.8878394332939787,3,25015821904
784,"Census Tract 8226.01, Hampshire County, Massachusetts",1977,1810,25,015,822601,0.9155285786545271,3,25015822601
785,"Census Tract 8226.03, Hampshire County, Massachusetts",1819,1783,25,015,822603,0.9802089059923035,4,25015822603
786,"Census Tract 8226.05, Hampshire County, Massachusetts",1303,1279,25,015,822605,0.9815809669992326,4,25015822605
787,"Census Tract 8226.06, Hampshire County, Massachusetts",3577,3526,25,015,822606,0.9857422421023204,4,25015822606
788,"Census Tract 3173.01, Middlesex County, Massachusetts",2671,2228,25,017,317301,0.8341445151628604,2,25017317301
789,"Census Tract 3173.02, Middlesex County, Massachusetts",5828,5039,25,017,317302,0.8646190803019904,3,25017317302
